idx,src,tgt,pred,prob
beam1,Ijustdon'twanttogetyourhopesup.,Jeneveuxtoutsimplementpastefaireformerdefauxespoirs.,Jenepeuxpasquevouspasquevousvousvousvousvous.,tensor([-24.5961])
beam2,Ijustdon'twanttogetyourhopesup.,Jeneveuxtoutsimplementpastefaireformerdefauxespoirs.,Jenepeuxpasquevouspasquevousvousvousvousvousvous.,tensor([-28.0106])
beam3,Ijustdon'twanttogetyourhopesup.,Jeneveuxtoutsimplementpastefaireformerdefauxespoirs.,Jenepeuxpasquevouspasquevousvousvousvousvousvousprez.,tensor([-33.3425])
beam4,Ijustdon'twanttogetyourhopesup.,Jeneveuxtoutsimplementpastefaireformerdefauxespoirs.,Jenepeuxpasquevouspasquevousvousvousvousvousvousprezpair.,tensor([-37.7336])
beam0,TomsawthatMarywasbusy.,TomavuqueMaryétaitoccupée.,TomestMaitMaitMait.,tensor([-17.3989])
beam1,TomsawthatMarywasbusy.,TomavuqueMaryétaitoccupée.,TomaMaitMaitMaitMait.,tensor([-19.5212])
beam2,TomsawthatMarywasbusy.,TomavuqueMaryétaitoccupée.,TomestMaitMaitMaitMait.,tensor([-21.3066])
beam3,TomsawthatMarywasbusy.,TomavuqueMaryétaitoccupée.,TomestMaitMaitMaitMare.,tensor([-21.7767])
beam4,TomsawthatMarywasbusy.,TomavuqueMaryétaitoccupée.,TomestMaitMaitMaitMaitMar.,tensor([-25.1278])
beam0,Tomblinked.,Tomaclignédesyeux.,Tomn'ait.,tensor([-7.5270])
beam1,Tomblinked.,Tomaclignédesyeux.,Tomn'aitpas.,tensor([-9.4310])
beam2,Tomblinked.,Tomaclignédesyeux.,Tomestrait.,tensor([-9.1862])
beam3,Tomblinked.,Tomaclignédesyeux.,Tommentrait.,tensor([-10.1285])
beam4,Tomblinked.,Tomaclignédesyeux.,Tomn'aitpar.,tensor([-10.2166])
beam0,Donottemptme.,Nemetentepas!,Nepezpas!,tensor([-5.2768])
beam1,Donottemptme.,Nemetentepas!,Nepez-vous!,tensor([-5.7645])
beam2,Donottemptme.,Nemetentepas!,Nepous!,tensor([-5.4299])
beam3,Donottemptme.,Nemetentepas!,Nepez-vouspas!,tensor([-7.4102])
beam4,Donottemptme.,Nemetentepas!,Nepezpas!Nous!,tensor([-8.1046])
beam0,Theschoolrulesrequirestudentstowearschooluniforms.,Lerèglementdel'écoleprévoitleportd'ununiformeparlesélèves.,Lessontressontpourtessentresssontresssesssontressessessssessontrentressessssessesssesssesssesssesss,tensor([-157.6538])
beam1,Theschoolrulesrequirestudentstowearschooluniforms.,Lerèglementdel'écoleprévoitleportd'ununiformeparlesélèves.,Lessontressontpourtessentresssontresssesssontressessessssessontrentressessssessesssessssessessssess,tensor([-157.6560])
beam2,Theschoolrulesrequirestudentstowearschooluniforms.,Lerèglementdel'écoleprévoitleportd'ununiformeparlesélèves.,Lessontressontpourtessentresssontresssesssontressessessssessontrentressessssessesssesssesssessssess,tensor([-157.6654])
beam3,Theschoolrulesrequirestudentstowearschooluniforms.,Lerèglementdel'écoleprévoitleportd'ununiformeparlesélèves.,Lessontressontpourtessentresssontresssesssontressessessssessontrentressessssessesssessssessessssest,tensor([-157.8728])
beam4,Theschoolrulesrequirestudentstowearschooluniforms.,Lerèglementdel'écoleprévoitleportd'ununiformeparlesélèves.,Lessontressontpourtessentresssontresssesssontressessessssessontrentressessssessesssesssesssesssesst,tensor([-157.8753])
beam0,Somechildrenplayvideogamesallthetime.,Certainsenfantsjouenttoutletempsauxjeuxvidéo.,Ellesommmentparendemandemandemandendemandellais.,tensor([-60.1387])
beam1,Somechildrenplayvideogamesallthetime.,Certainsenfantsjouenttoutletempsauxjeuxvidéo.,Ellesommmentparendemandemandemandendemandellaire.,tensor([-61.7109])
beam2,Somechildrenplayvideogamesallthetime.,Certainsenfantsjouenttoutletempsauxjeuxvidéo.,Ellesommmentparendemandemandemandendemandendelais.,tensor([-63.5123])
beam3,Somechildrenplayvideogamesallthetime.,Certainsenfantsjouenttoutletempsauxjeuxvidéo.,Ellesommmentparendemandemandemandendemandendelaire.,tensor([-65.0952])
beam4,Somechildrenplayvideogamesallthetime.,Certainsenfantsjouenttoutletempsauxjeuxvidéo.,Ellesommmentparendemandemandemandendemandendelantemais.,tensor([-71.4034])
beam0,Iseethey'veputyoutowork.,Jevoisqu'ilsvousontmiseautravail.,Jepensequevousquevousvousêtrezpas.,tensor([-17.4278])
beam1,Iseethey'veputyoutowork.,Jevoisqu'ilsvousontmiseautravail.,Jepensequevousquevousvousêtrezvous.,tensor([-18.1372])
beam2,Iseethey'veputyoutowork.,Jevoisqu'ilsvousontmiseautravail.,Jepensequevousquevousvousêtrezquevous.,tensor([-20.0048])
beam3,Iseethey'veputyoutowork.,Jevoisqu'ilsvousontmiseautravail.,Jepensequevousquevousvousvousêtrezpas.,tensor([-20.6458])
beam4,Iseethey'veputyoutowork.,Jevoisqu'ilsvousontmiseautravail.,Jepensequevousquevousvousêtrezquevouss.,tensor([-22.0978])
beam0,Youdon'tlookcomfortable.,Vousn'avezpasl'airàl'aise.,Vousn'êtespaspaspasdement.,tensor([-19.9258])
beam1,Youdon'tlookcomfortable.,Vousn'avezpasl'airàl'aise.,Vousn'êtespaspaspasdementre.,tensor([-21.6278])
beam2,Youdon'tlookcomfortable.,Vousn'avezpasl'airàl'aise.,Vousn'êtespaspaspasdementrer.,tensor([-23.1632])
beam3,Youdon'tlookcomfortable.,Vousn'avezpasl'airàl'aise.,Vousn'êtespaspaspasdementrent.,tensor([-24.2993])
beam4,Youdon'tlookcomfortable.,Vousn'avezpasl'airàl'aise.,Vousn'êtespaspaspasdementrenter.,tensor([-27.7447])
beam0,I'mwealthy.,Jesuisfortuné.,Jesuisfais.,tensor([-5.4571])
beam1,I'mwealthy.,Jesuisfortuné.,Jesuispas.,tensor([-6.0210])
beam2,I'mwealthy.,Jesuisfortuné.,Jesuisfaisé.,tensor([-7.6826])
beam3,I'mwealthy.,Jesuisfortuné.,Jesuisfaisdé.,tensor([-8.5661])
beam4,I'mwealthy.,Jesuisfortuné.,Jesuisfaisde.,tensor([-9.3948])
beam0,Doyouthinkshe'sattractive?,Tulatrouvesattirante ?,Pourquoinez-vouspasez-vous?,tensor([-14.6978])
beam1,Doyouthinkshe'sattractive?,Tulatrouvesattirante ?,Pourquoinez-vouspasez-vouspas?,tensor([-17.4284])
beam2,Doyouthinkshe'sattractive?,Tulatrouvesattirante ?,Pourquoinez-vouspasez-vouss?,tensor([-17.3402])
beam3,Doyouthinkshe'sattractive?,Tulatrouvesattirante ?,Pourquoinez-vouspasez-vousce?,tensor([-18.4470])
beam4,Doyouthinkshe'sattractive?,Tulatrouvesattirante ?,Pourquoinez-vouspasez-vousezpas?,tensor([-19.9808])
beam0,You'retheoldest.,C'esttoilaplusvieille.,Vousêtesêtres.,tensor([-6.8949])
beam1,You'retheoldest.,C'esttoilaplusvieille.,Vousêtesfêtres.,tensor([-7.7676])
beam2,You'retheoldest.,C'esttoilaplusvieille.,Vousêtesêtrespas.,tensor([-8.6557])
beam3,You'retheoldest.,C'esttoilaplusvieille.,Vousêtesêtrestre.,tensor([-9.2175])
beam4,You'retheoldest.,C'esttoilaplusvieille.,Vousêtesêtrestres.,tensor([-10.1530])
beam0,Donotattemptthisathome.,N'essaiepasçacheztoi!,Nepez-vouspas!,tensor([-9.1140])
beam1,Donotattemptthisathome.,N'essaiepasçacheztoi!,Nepezpasdezpas!,tensor([-10.9818])
beam2,Donotattemptthisathome.,N'essaiepasçacheztoi!,Nepez-vouspaslez!,tensor([-13.2114])
beam3,Donotattemptthisathome.,N'essaiepasçacheztoi!,Nepez-vouspasdezpas!,tensor([-14.3747])
beam4,Donotattemptthisathome.,N'essaiepasçacheztoi!,Nepez-vouspaslezpas!,tensor([-14.4235])
beam0,Ididn'ttakethewrongumbrella.,Jen'aipasprislemauvaisparapluie.,Jenepensaispasquevouspasirent.,tensor([-21.4992])
beam1,Ididn'ttakethewrongumbrella.,Jen'aipasprislemauvaisparapluie.,Jenepensaispasquevouspasdentrer.,tensor([-24.3721])
beam2,Ididn'ttakethewrongumbrella.,Jen'aipasprislemauvaisparapluie.,Jenepensaispasquevouspasdentrair.,tensor([-25.2181])
beam3,Ididn'ttakethewrongumbrella.,Jen'aipasprislemauvaisparapluie.,Jenepensaispasquevouspasdentraire.,tensor([-26.7494])
beam4,Ididn'ttakethewrongumbrella.,Jen'aipasprislemauvaisparapluie.,Jenepensaispasquevouspasdentrentre.,tensor([-28.5020])
beam0,You'llhavetoaskTomthat.,TudevrasdemandercelaàTom.,Tun'aipasTompasTom.,tensor([-13.2632])
beam1,You'llhavetoaskTomthat.,TudevrasdemandercelaàTom.,Tun'aspasTommentTompas.,tensor([-16.9237])
beam2,You'llhavetoaskTomthat.,TudevrasdemandercelaàTom.,Tun'aipasTompasTomment.,tensor([-17.6173])
beam3,You'llhavetoaskTomthat.,TudevrasdemandercelaàTom.,Tun'aspasTommentTompasTom.,tensor([-19.4209])
beam4,You'llhavetoaskTomthat.,TudevrasdemandercelaàTom.,Tun'aipasTompasTommendeTom.,tensor([-20.7246])
beam0,You'reverytimid.,Tuesfortcraintif.,Vousêtesêtes.,tensor([-6.1807])
beam1,You'reverytimid.,Tuesfortcraintif.,Vousêtesêtres.,tensor([-6.5308])
beam2,You'reverytimid.,Tuesfortcraintif.,Vousêtesêtestrès.,tensor([-8.1884])
beam3,You'reverytimid.,Tuesfortcraintif.,Vousêtesêtestre.,tensor([-8.0778])
beam4,You'reverytimid.,Tuesfortcraintif.,Vousêtesêtestres.,tensor([-9.1908])
beam0,Iknowwhoaskedyouhere.,Jesaisquit'arequisici.,Jeveuxquevousquevousais.,tensor([-13.8517])
beam1,Iknowwhoaskedyouhere.,Jesaisquit'arequisici.,Jesaisquevousquevousais.,tensor([-13.9678])
beam2,Iknowwhoaskedyouhere.,Jesaisquit'arequisici.,Jesaisquevousquevoussais.,tensor([-15.5776])
beam3,Iknowwhoaskedyouhere.,Jesaisquit'arequisici.,Jeveuxquevousquevousaiss.,tensor([-16.1273])
beam4,Iknowwhoaskedyouhere.,Jesaisquit'arequisici.,Jesaisquevousquevousaiss.,tensor([-16.1584])
beam0,They'rerich.,Ellessontriches.,Iln'estpas.,tensor([-6.5032])
beam1,They'rerich.,Ellessontriches.,Iln'estpass.,tensor([-8.4011])
beam2,They'rerich.,Ellessontriches.,Elllessont.,tensor([-8.2863])
beam3,They'rerich.,Ellessontriches.,Elllesestsont.,tensor([-10.4542])
beam4,They'rerich.,Ellessontriches.,Elllesestsons.,tensor([-10.7927])
beam0,Whatisimportantinwritingacompositionistomakeyourideasclear.,Cequiestimportantlorsqu'onrédigeunessaiestdemettresesidéesauclair.,Nousn'avonspasdecondemmententrendespourdechondesdempondentrentrentententressesondesandespondestress,tensor([-153.2404])
beam1,Whatisimportantinwritingacompositionistomakeyourideasclear.,Cequiestimportantlorsqu'onrédigeunessaiestdemettresesidéesauclair.,Nousn'avonspasdecondemmententrendespourdechondesdempondentrentrentententressesondesandespondestrent,tensor([-153.3244])
beam2,Whatisimportantinwritingacompositionistomakeyourideasclear.,Cequiestimportantlorsqu'onrédigeunessaiestdemettresesidéesauclair.,Nousn'avonspasdecondemmententrendespourdechondesdempondentrentrentententressesondesandespondestrese,tensor([-153.5849])
beam3,Whatisimportantinwritingacompositionistomakeyourideasclear.,Cequiestimportantlorsqu'onrédigeunessaiestdemettresesidéesauclair.,Nousn'avonspasdecondemmententrendespourdechondesdempondentrentrentententressesondesandespondestrest,tensor([-153.5920])
beam4,Whatisimportantinwritingacompositionistomakeyourideasclear.,Cequiestimportantlorsqu'onrédigeunessaiestdemettresesidéesauclair.,Nousn'avonspasdecondemmententrendespourdechondesdempondentrentrentententressesondesandespondestrere,tensor([-153.6601])
beam0,Whydidyouquit?,Pourquoias-tudémissionné ?,Qu'est-vous?,tensor([-5.1605])
beam1,Whydidyouquit?,Pourquoias-tudémissionné ?,Pourquois-tuvous?,tensor([-7.1329])
beam2,Whydidyouquit?,Pourquoias-tudémissionné ?,Quevous-tuvous?,tensor([-6.8983])
beam3,Whydidyouquit?,Pourquoias-tudémissionné ?,Pourquois-tuvousavous?,tensor([-10.1111])
beam4,Whydidyouquit?,Pourquoias-tudémissionné ?,Pourquois-tuvousavoir?,tensor([-11.9868])
beam0,Allwhoknewhimadmiredhim.,Tousceuxquileconnaissaient,l'admiraient.,Tomn'aitpasdemaitendemant.,tensor([-28.8496])
beam1,Allwhoknewhimadmiredhim.,Tousceuxquileconnaissaient,l'admiraient.,Tomn'aitpasdemaitendemait.,tensor([-28.9162])
beam2,Allwhoknewhimadmiredhim.,Tousceuxquileconnaissaient,l'admiraient.,Tomn'aitpaslemaitentdemant.,tensor([-30.2960])
beam3,Allwhoknewhimadmiredhim.,Tousceuxquileconnaissaient,l'admiraient.,Tomn'aitpasdemaitendemantent.,tensor([-33.1702])
beam4,Allwhoknewhimadmiredhim.,Tousceuxquileconnaissaient,l'admiraient.,Tomn'aitpaslemaitentdemantent.,tensor([-34.6468])
beam0,Thankyouforstoppingby.,Mercidevousêtrearrêtésenchemin.,C'estpasentpourdesontre.,tensor([-25.6962])
beam1,Thankyouforstoppingby.,Mercidevousêtrearrêtésenchemin.,C'estpasentpourdesouvour.,tensor([-26.3484])
beam2,Thankyouforstoppingby.,Mercidevousêtrearrêtésenchemin.,C'estpasentpourdesouvous.,tensor([-26.5821])
beam3,Thankyouforstoppingby.,Mercidevousêtrearrêtésenchemin.,C'estpasentpourdesouvoir.,tensor([-26.6571])
beam4,Thankyouforstoppingby.,Mercidevousêtrearrêtésenchemin.,C'estpasentpourdesouvourte.,tensor([-29.0016])
beam0,Theywillhaveagoodlaughwhentheyseeyoulikethis.,Ilsvontbienrigoler,lorsqu'ilsteverrontainsi.,Elllesontraitquevoussaitentententouvousdellavous.,tensor([-60.6406])
beam1,Theywillhaveagoodlaughwhentheyseeyoulikethis.,Ilsvontbienrigoler,lorsqu'ilsteverrontainsi.,Elllesontraitquevoussaitentententouvousdellavousdesssais.,tensor([-74.0828])
beam2,Theywillhaveagoodlaughwhentheyseeyoulikethis.,Ilsvontbienrigoler,lorsqu'ilsteverrontainsi.,Elllesontraitquevoussaitentententouvousdellavousdesssaires.,tensor([-77.4534])
beam3,Theywillhaveagoodlaughwhentheyseeyoulikethis.,Ilsvontbienrigoler,lorsqu'ilsteverrontainsi.,Elllesontraitquevoussaitentententouvousdellavousdesssairens.,tensor([-79.0978])
beam4,Theywillhaveagoodlaughwhentheyseeyoulikethis.,Ilsvontbienrigoler,lorsqu'ilsteverrontainsi.,Elllesontraitquevoussaitentententouvousdellavousdesssairentes.,tensor([-82.5695])
beam0,Ididn'tknowhowtoreact.,Jenesavaispascommentréagir.,Jenepensaispasquevous.,tensor([-10.4977])
beam1,Ididn'tknowhowtoreact.,Jenesavaispascommentréagir.,Jenepeuxpasquevouspas.,tensor([-10.6368])
beam2,Ididn'tknowhowtoreact.,Jenesavaispascommentréagir.,Jen'aipasquevouspas.,tensor([-10.5405])
beam3,Ididn'tknowhowtoreact.,Jenesavaispascommentréagir.,Jenepensaispasquevouspas.,tensor([-12.0924])
beam4,Ididn'tknowhowtoreact.,Jenesavaispascommentréagir.,Jenepensaispasquevousfaire.,tensor([-13.9901])
beam0,Iloveseeingyousohappy.,J'adoretevoiraussiheureuse.,Jevousaisquejevousais.,tensor([-16.7503])
beam1,Iloveseeingyousohappy.,J'adoretevoiraussiheureuse.,Jevousaisquejevousd'ais.,tensor([-19.2728])
beam2,Iloveseeingyousohappy.,J'adoretevoiraussiheureuse.,Jevousaisquejevousd'ait.,tensor([-19.4446])
beam3,Iloveseeingyousohappy.,J'adoretevoiraussiheureuse.,Jevousaisquejevousd'aiter.,tensor([-22.8002])
beam4,Iloveseeingyousohappy.,J'adoretevoiraussiheureuse.,Jevousaisquejevousd'aitent.,tensor([-24.5798])
beam0,Shemadeitplainthatshewantedtogotocollege.,Ellefitclairementcomprendrequ'ellevoulaitalleràlafac.,Ellelel'apardedell'apardel'aitdell'aile.,tensor([-52.6648])
beam1,Shemadeitplainthatshewantedtogotocollege.,Ellefitclairementcomprendrequ'ellevoulaitalleràlafac.,Ellelel'apardedell'apardel'aitdell'aille.,tensor([-53.7496])
beam2,Shemadeitplainthatshewantedtogotocollege.,Ellefitclairementcomprendrequ'ellevoulaitalleràlafac.,Ellelel'apardedell'apardel'aitdell'aillle.,tensor([-55.4600])
beam3,Shemadeitplainthatshewantedtogotocollege.,Ellefitclairementcomprendrequ'ellevoulaitalleràlafac.,Ellelel'apardedell'apardel'aitdell'aillere.,tensor([-57.4688])
beam4,Shemadeitplainthatshewantedtogotocollege.,Ellefitclairementcomprendrequ'ellevoulaitalleràlafac.,Ellelel'apardedell'apardel'aitdell'ailllese.,tensor([-59.5423])
beam0,Ifiguredthatmightbethecase.,Jemesuisimaginéqueçapouvaitêtrelecas.,J'aimeraisdemaisdemais.,tensor([-24.8373])
beam1,Ifiguredthatmightbethecase.,Jemesuisimaginéqueçapouvaitêtrelecas.,J'aimeraisdemaisdemantentre.,tensor([-32.1639])
beam2,Ifiguredthatmightbethecase.,Jemesuisimaginéqueçapouvaitêtrelecas.,J'aimeraisdemaisdemantentrais.,tensor([-34.3340])
beam3,Ifiguredthatmightbethecase.,Jemesuisimaginéqueçapouvaitêtrelecas.,J'aimeraisdemaisdemantentrair.,tensor([-35.3962])
beam4,Ifiguredthatmightbethecase.,Jemesuisimaginéqueçapouvaitêtrelecas.,J'aimeraisdemaisdemantentraire.,tensor([-36.1534])
beam0,I'mtiredofwriting.,Jesuisfatiguéed'écrire.,Jesuisfaisentre.,tensor([-13.3625])
beam1,I'mtiredofwriting.,Jesuisfatiguéed'écrire.,Jesuisfaisentrais.,tensor([-15.0929])
beam2,I'mtiredofwriting.,Jesuisfatiguéed'écrire.,Jesuisfaisdécons.,tensor([-14.7382])
beam3,I'mtiredofwriting.,Jesuisfatiguéed'écrire.,Jesuisfaisdéconte.,tensor([-16.0507])
beam4,I'mtiredofwriting.,Jesuisfatiguéed'écrire.,Jesuisfaisentrait.,tensor([-16.1841])
beam0,Iheardayounggirlcallforhelp.,J'aientenduunejeunefilleappeleràl'aide.,Jepensequevousaisdevouspourderair.,tensor([-34.0993])
beam1,Iheardayounggirlcallforhelp.,J'aientenduunejeunefilleappeleràl'aide.,Jepensequevousaisdevousd'airendent.,tensor([-35.8841])
beam2,Iheardayounggirlcallforhelp.,J'aientenduunejeunefilleappeleràl'aide.,Jepensequevousaisdevousd'airendentre.,tensor([-39.0096])
